id_viagem,id_veiculo,regiao,data_viagem,km_rodado,custo_combustivel,custo_pedagio,faturamento_viagem,custo_total,margem
VEI-001-202501-022,VEI-001,Sudeste,2025-01-14,395.1,685.13,125.81,4112.79,810.94,3301.85
VEI-001-202501-023,VEI-001,Sudeste,2025-01-07,424.2,894.22,64.88,2946.39,959.1,1987.29
VEI-001-202501-024,VEI-001,Sudeste,2025-01-17,204.8,478.51,69.97,2884.95,548.48,2336.47
VEI-001-202501-025,VEI-001,Sudeste,2025-01-20,199.5,371.36,55.5,1856.66,426.86,1429.8000000000002
VEI-001-202501-026,VEI-001,Sudeste,2025-01-05,420.8,682.91,109.91,4142.41,792.8199999999999,3349.59
VEI-001-202501-027,VEI-001,Sudeste,2025-01-07,300.2,492.84,90.37,3252.03,583.21,2668.82
VEI-001-202501-028,VEI-001,Sudeste,2025-01-25,380.7,784.54,79.34,3626.71,863.88,2762.83
VEI-001-202501-029,VEI-001,Sudeste,2025-01-20,188.2,365.07,52.23,1986.14,417.3,1568.8400000000001
VEI-001-202502-000,VEI-001,Sudeste,2025-02-10,390.1,694.62,124.99,4488.58,819.61,3668.97
VEI-001-202502-001,VEI-001,Sudeste,2025-02-09,228.0,444.43,52.37,2631.54,496.8,2134.74
VEI-001-202502-002,VEI-001,Sudeste,2025-02-06,325.6,623.01,78.03,3620.36,701.04,2919.32
VEI-001-202502-003,VEI-001,Sudeste,2025-02-14,259.0,464.86,89.72,3344.05,554.58,2789.4700000000003
VEI-001-202502-004,VEI-001,Sudeste,2025-02-20,235.9,439.02,76.29,3004.77,515.31,2489.46
VEI-001-202502-005,VEI-001,Sudeste,2025-02-14,361.2,586.86,125.3,4227.11,712.16,3514.95
VEI-001-202502-006,VEI-001,Sudeste,2025-02-21,293.1,503.05,71.23,1912.95,574.28,1338.67
VEI-001-202502-007,VEI-001,Sudeste,2025-02-10,283.5,541.74,94.96,2914.3,636.7,2277.6000000000004
VEI-001-202502-008,VEI-001,Sudeste,2025-02-03,361.2,735.46,110.07,3382.35,845.53,2536.8199999999997
VEI-001-202502-009,VEI-001,Sudeste,2025-02-21,284.7,467.63,91.58,2993.75,559.21,2434.54
VEI-001-202502-010,VEI-001,Sudeste,2025-02-11,303.0,500.52,59.84,1554.08,560.36,993.7199999999999
VEI-001-202502-011,VEI-001,Sudeste,2025-02-13,165.7,308.7,33.96,1498.32,342.65999999999997,1155.6599999999999
VEI-001-202502-012,VEI-001,Sudeste,2025-02-20,402.9,635.97,84.32,3471.06,720.29,2750.77
VEI-001-202502-013,VEI-001,Sudeste,2025-02-15,354.8,665.12,88.48,3413.82,753.6,2660.2200000000003
VEI-001-202502-014,VEI-001,Sudeste,2025-02-01,261.8,470.24,57.24,2906.04,527.48,2378.56
VEI-001-202502-015,VEI-001,Sudeste,2025-02-06,309.2,566.19,60.92,2450.47,627.11,1823.3599999999997
VEI-001-202502-016,VEI-001,Sudeste,2025-02-16,364.5,700.75,72.27,3955.55,773.02,3182.53
VEI-001-202502-017,VEI-001,Sudeste,2025-02-13,374.9,690.93,89.1,5053.99,780.03,4273.96
VEI-001-202502-018,VEI-001,Sudeste,2025-02-05,411.2,673.12,115.37,3928.24,788.49,3139.75
VEI-001-202502-019,VEI-001,Sudeste,2025-02-22,137.3,266.39,21.73,663.15,288.12,375.03
VEI-001-202502-020,VEI-001,Sudeste,2025-02-09,317.9,626.88,72.14,4244.42,699.02,3545.4
VEI-001-202502-021,VEI-001,Sudeste,2025-02-08,320.1,555.69,48.12,4219.44,603.8100000000001,3615.6299999999997
VEI-001-202502-022,VEI-001,Sudeste,2025-02-14,199.3,345.06,61.0,1527.25,406.06,1121.19
VEI-001-202502-023,VEI-001,Sudeste,2025-02-24,205.3,401.29,40.17,2554.55,441.46000000000004,2113.09
VEI-001-202502-024,VEI-001,Sudeste,2025-02-20,345.2,603.65,61.33,3217.96,664.98,2552.98
VEI-001-202502-025,VEI-001,Sudeste,2025-02-08,194.2,424.66,38.52,2568.96,463.18,2105.78
VEI-001-202502-026,VEI-001,Sudeste,2025-02-24,501.8,879.4,152.84,3962.28,1032.24,2930.04
VEI-001-202502-027,VEI-001,Sudeste,2025-02-09,524.4,842.26,116.58,4200.63,958.84,3241.79
VEI-001-202502-028,VEI-001,Sudeste,2025-02-06,397.2,685.08,65.78,4203.83,750.86,3452.97
VEI-001-202502-029,VEI-001,Sudeste,2025-02-21,224.8,363.56,66.93,3273.31,430.49,2842.8199999999997
VEI-001-202502-030,VEI-001,Sudeste,2025-02-04,241.6,427.06,60.75,1574.38,487.81,1086.5700000000002
VEI-001-202502-031,VEI-001,Sudeste,2025-02-20,420.5,764.64,138.53,4460.79,903.17,3557.62
VEI-001-202502-032,VEI-001,Sudeste,2025-02-02,227.5,398.8,64.31,1294.94,463.11,831.83
VEI-001-202503-000,VEI-001,Sudeste,2025-03-05,242.5,430.24,69.23,3216.99,499.47,2717.5199999999995
VEI-001-202503-001,VEI-001,Sudeste,2025-03-12,359.6,664.42,111.18,3817.2,775.5999999999999,3041.6
VEI-001-202503-002,VEI-001,Sudeste,2025-03-10,303.8,543.08,54.65,2198.29,597.73,1600.56
VEI-001-202503-003,VEI-001,Sudeste,2025-03-13,172.4,313.16,38.94,1881.37,352.1,1529.27
VEI-001-202503-004,VEI-001,Sudeste,2025-03-12,480.5,954.92,158.96,4634.35,1113.8799999999999,3520.4700000000003
VEI-001-202503-005,VEI-001,Sudeste,2025-03-21,309.8,493.64,69.83,4507.18,563.47,3943.71
VEI-001-202503-006,VEI-001,Sudeste,2025-03-10,626.1,1071.49,145.15,8814.66,1216.64,7598.0199999999995
VEI-001-202503-007,VEI-001,Sudeste,2025-03-11,365.1,663.76,66.65,3915.98,730.41,3185.57
VEI-001-202503-008,VEI-001,Sudeste,2025-03-02,210.2,384.24,68.57,1710.22,452.81,1257.41
VEI-001-202503-009,VEI-001,Sudeste,2025-03-13,335.8,598.73,82.71,4185.93,681.44,3504.4900000000002
VEI-001-202503-010,VEI-001,Sudeste,2025-03-10,338.9,627.14,102.67,3937.87,729.81,3208.06
VEI-001-202503-011,VEI-001,Sudeste,2025-03-26,241.6,430.45,50.95,2011.18,481.4,1529.7800000000002
VEI-001-202503-012,VEI-001,Sudeste,2025-03-20,289.8,544.03,58.15,3132.07,602.18,2529.8900000000003
VEI-001-202503-013,VEI-001,Sudeste,2025-03-08,201.8,356.9,60.94,1853.02,417.84,1435.18
VEI-001-202503-014,VEI-001,Sudeste,2025-03-06,319.7,643.15,64.87,2351.97,708.02,1643.9499999999998
VEI-001-202503-015,VEI-001,Sudeste,2025-03-07,428.9,718.52,139.35,3635.43,857.87,2777.56
VEI-001-202503-016,VEI-001,Sudeste,2025-03-11,311.4,605.93,102.01,2883.91,707.9399999999999,2175.97
VEI-001-202503-017,VEI-001,Sudeste,2025-03-15,319.1,577.51,55.88,3596.16,633.39,2962.77
VEI-001-202503-018,VEI-001,Sudeste,2025-03-25,393.1,782.57,78.86,4287.15,861.4300000000001,3425.7199999999993
VEI-001-202503-019,VEI-001,Sudeste,2025-03-17,448.0,798.2,114.86,5720.01,913.0600000000001,4806.95
VEI-001-202503-020,VEI-001,Sudeste,2025-03-18,184.9,325.54,61.78,1271.51,387.32000000000005,884.1899999999999
VEI-001-202503-021,VEI-001,Sudeste,2025-03-17,339.8,600.23,65.38,3557.62,665.61,2892.0099999999998
VEI-001-202503-022,VEI-001,Sudeste,2025-03-14,217.2,402.96,35.27,2370.68,438.22999999999996,1932.4499999999998
VEI-001-202503-023,VEI-001,Sudeste,2025-03-11,395.5,777.86,116.77,5269.29,894.63,4374.66
VEI-001-202503-024,VEI-001,Sudeste,2025-03-08,381.7,784.27,70.79,5038.53,855.06,4183.469999999999
VEI-001-202503-025,VEI-001,Sudeste,2025-03-25,312.8,590.51,65.84,3898.71,656.35,3242.36
VEI-001-202503-026,VEI-001,Sudeste,2025-03-19,371.7,639.99,93.6,3868.75,733.59,3135.16
VEI-001-202503-027,VEI-001,Sudeste,2025-03-12,397.1,722.49,66.84,4906.81,789.33,4117.4800000000005
VEI-001-202503-028,VEI-001,Sudeste,2025-03-24,228.9,376.09,69.95,1468.21,446.03999999999996,1022.1700000000001
VEI-001-202503-029,VEI-001,Sudeste,2025-03-08,309.7,538.74,88.24,3110.87,626.98,2483.89
VEI-001-202503-030,VEI-001,Sudeste,2025-03-12,307.2,667.71,61.75,3015.62,729.46,2286.16
VEI-001-202503-031,VEI-001,Sudeste,2025-03-19,383.7,726.91,124.7,4694.67,851.61,3843.06
VEI-001-202503-032,VEI-001,Sudeste,2025-03-26,254.1,431.1,63.0,2558.56,494.1,2064.46
VEI-001-202503-033,VEI-001,Sudeste,2025-03-25,254.0,447.67,75.94,2738.44,523.61,2214.83
VEI-001-202504-000,VEI-001,Sudeste,2025-04-10,350.7,617.71,81.35,5001.77,699.0600000000001,4302.71
VEI-001-202504-001,VEI-001,Sudeste,2025-04-01,243.5,428.68,77.4,2703.94,506.08000000000004,2197.86
VEI-001-202504-002,VEI-001,Sudeste,2025-04-18,196.6,384.06,35.55,2650.56,419.61,2230.95
VEI-001-202504-003,VEI-001,Sudeste,2025-04-02,326.4,575.47,66.62,3643.86,642.09,3001.77
VEI-001-202504-004,VEI-001,Sudeste,2025-04-01,398.8,741.12,103.86,4392.47,844.98,3547.4900000000002
VEI-001-202504-005,VEI-001,Sudeste,2025-04-27,334.0,543.78,98.71,3917.6,642.49,3275.1099999999997
VEI-001-202504-006,VEI-001,Sudeste,2025-04-11,393.9,690.08,86.91,5147.33,776.99,4370.34
VEI-001-202504-007,VEI-001,Sudeste,2025-04-09,473.9,880.3,117.64,4177.22,997.9399999999999,3179.28
VEI-001-202504-008,VEI-001,Sudeste,2025-04-03,307.5,545.32,50.28,2950.13,595.6,2354.53
VEI-001-202504-009,VEI-001,Sudeste,2025-04-01,315.7,507.51,57.96,3469.69,565.47,2904.2200000000003
VEI-001-202504-010,VEI-001,Sudeste,2025-04-15,278.3,459.15,63.7,3347.57,522.85,2824.7200000000003
VEI-001-202504-011,VEI-001,Sudeste,2025-04-21,494.7,1088.74,95.89,4940.76,1184.63,3756.13
VEI-001-202504-012,VEI-001,Sudeste,2025-04-05,305.4,516.61,96.09,3790.19,612.7,3177.49
VEI-001-202504-013,VEI-001,Sudeste,2025-04-13,350.0,636.87,120.78,1679.85,757.65,922.1999999999999
VEI-001-202504-014,VEI-001,Sudeste,2025-04-15,317.1,650.22,83.48,3005.9,733.7,2272.2
VEI-001-202504-015,VEI-001,Sudeste,2025-04-02,236.6,502.03,47.8,2125.61,549.8299999999999,1575.7800000000002
VEI-001-202504-016,VEI-001,Sudeste,2025-04-10,353.4,626.06,89.89,2757.86,715.9499999999999,2041.9100000000003
VEI-001-202504-017,VEI-001,Sudeste,2025-04-01,216.1,402.86,60.35,2826.25,463.21000000000004,2363.04
VEI-001-202504-018,VEI-001,Sudeste,2025-04-25,316.9,546.21,61.17,3733.71,607.38,3126.33
VEI-001-202504-019,VEI-001,Sudeste,2025-04-03,221.0,417.31,40.93,2500.58,458.24,2042.34
VEI-001-202504-020,VEI-001,Sudeste,2025-04-19,260.8,405.7,52.94,2904.37,458.64,2445.73
VEI-001-202504-021,VEI-001,Sudeste,2025-04-03,216.0,454.47,59.16,1894.5,513.63,1380.87
VEI-001-202504-022,VEI-001,Sudeste,2025-04-25,377.0,648.3,59.88,4096.88,708.18,3388.7000000000003
VEI-001-202504-023,VEI-001,Sudeste,2025-04-22,290.5,577.13,72.56,2976.97,649.69,2327.2799999999997
VEI-001-202504-024,VEI-001,Sudeste,2025-04-12,391.3,680.88,66.79,5227.37,747.67,4479.7
VEI-001-202504-025,VEI-001,Sudeste,2025-04-12,346.1,649.93,116.49,3293.5,766.42,2527.08
VEI-001-202504-026,VEI-001,Sudeste,2025-04-09,268.3,477.52,69.99,2323.59,547.51,1776.0800000000002
VEI-001-202504-027,VEI-001,Sudeste,2025-04-05,429.9,776.87,82.94,4391.63,859.81,3531.82
VEI-001-202504-028,VEI-001,Sudeste,2025-04-25,399.6,693.63,113.4,5906.73,807.03,5099.7
VEI-001-202504-029,VEI-001,Sudeste,2025-04-16,342.1,651.8,97.87,3260.64,749.67,2510.97
VEI-001-202504-030,VEI-001,Sudeste,2025-04-23,158.7,272.71,23.98,1643.19,296.69,1346.5
VEI-001-202504-031,VEI-001,Sudeste,2025-04-16,355.3,668.51,108.35,2145.25,776.86,1368.3899999999999
VEI-001-202504-032,VEI-001,Sudeste,2025-04-14,280.5,558.71,75.41,2834.24,634.12,2200.12
VEI-001-202504-033,VEI-001,Sudeste,2025-04-14,317.4,708.85,86.16,3950.31,795.01,3155.3
VEI-001-202504-034,VEI-001,Sudeste,2025-04-14,412.4,790.41,85.32,5324.02,875.73,4448.290000000001
VEI-001-202504-035,VEI-001,Sudeste,2025-04-13,447.1,862.75,126.84,4798.64,989.59,3809.05
VEI-001-202505-000,VEI-001,Sudeste,2025-05-10,418.9,747.34,130.61,4743.05,877.95,3865.1000000000004
VEI-001-202505-001,VEI-001,Sudeste,2025-05-18,320.8,620.74,75.77,3667.4,696.51,2970.8900000000003
VEI-001-202505-002,VEI-001,Sudeste,2025-05-02,274.1,466.96,90.61,3069.38,557.5699999999999,2511.8100000000004
VEI-001-202505-003,VEI-001,Sudeste,2025-05-27,512.2,900.84,131.62,4885.64,1032.46,3853.1800000000003
VEI-001-202505-004,VEI-001,Sudeste,2025-05-02,184.0,314.68,34.57,2352.04,349.25,2002.79
VEI-001-202505-005,VEI-001,Sudeste,2025-05-09,426.4,874.85,147.17,5447.13,1022.02,4425.110000000001
VEI-001-202505-006,VEI-001,Sudeste,2025-05-15,356.0,634.08,122.58,4585.45,756.6600000000001,3828.79
VEI-001-202505-007,VEI-001,Sudeste,2025-05-23,182.3,329.5,30.62,1611.79,360.12,1251.67
VEI-001-202505-008,VEI-001,Sudeste,2025-05-17,291.2,512.28,55.66,3457.59,567.9399999999999,2889.65
VEI-001-202505-009,VEI-001,Sudeste,2025-05-10,213.1,356.44,34.06,1840.31,390.5,1449.81
VEI-001-202505-010,VEI-001,Sudeste,2025-05-25,398.7,726.05,75.89,3936.4,801.9399999999999,3134.46
VEI-001-202505-011,VEI-001,Sudeste,2025-05-04,463.1,900.1,90.39,6567.29,990.49,5576.8
VEI-001-202505-012,VEI-001,Sudeste,2025-05-15,375.1,618.18,105.28,3126.29,723.4599999999999,2402.83
VEI-001-202505-013,VEI-001,Sudeste,2025-05-26,407.1,756.22,76.36,3496.11,832.58,2663.53
VEI-001-202505-014,VEI-001,Sudeste,2025-05-12,74.0,148.49,18.17,578.32,166.66000000000003,411.66
VEI-001-202505-015,VEI-001,Sudeste,2025-05-22,327.0,582.62,113.25,4770.5,695.87,4074.63
VEI-001-202505-016,VEI-001,Sudeste,2025-05-23,330.5,619.86,77.88,3727.17,697.74,3029.4300000000003
VEI-001-202505-017,VEI-001,Sudeste,2025-05-02,372.2,631.95,127.32,3135.58,759.27,2376.31
VEI-001-202505-018,VEI-001,Sudeste,2025-05-20,217.6,443.18,65.06,2097.89,508.24,1589.6499999999999
VEI-001-202505-019,VEI-001,Sudeste,2025-05-09,322.8,594.79,55.57,2126.03,650.36,1475.67
VEI-001-202505-020,VEI-001,Sudeste,2025-05-15,350.3,622.27,102.16,2919.71,724.43,2195.28
VEI-001-202505-021,VEI-001,Sudeste,2025-05-07,356.1,679.32,62.48,3446.75,741.8000000000001,2704.95
VEI-001-202505-022,VEI-001,Sudeste,2025-05-22,236.5,408.72,56.67,2006.99,465.39000000000004,1541.6
VEI-001-202505-023,VEI-001,Sudeste,2025-05-01,320.9,563.18,63.61,3119.49,626.79,2492.7
VEI-001-202505-024,VEI-001,Sudeste,2025-05-12,420.6,899.55,82.94,5161.36,982.49,4178.87
VEI-001-202505-025,VEI-001,Sudeste,2025-05-21,165.9,333.47,45.24,1851.25,378.71000000000004,1472.54
VEI-001-202505-026,VEI-001,Sudeste,2025-05-03,324.7,702.82,80.8,3830.24,783.62,3046.62
VEI-001-202505-027,VEI-001,Sudeste,2025-05-05,520.8,1020.92,160.72,4134.74,1181.6399999999999,2953.1
VEI-001-202505-028,VEI-001,Sudeste,2025-05-09,361.3,662.82,98.01,3408.8,760.83,2647.9700000000003
VEI-001-202505-029,VEI-001,Sudeste,2025-05-19,375.6,774.09,60.69,3348.58,834.78,2513.8
VEI-001-202505-030,VEI-001,Sudeste,2025-05-06,409.4,702.78,83.09,3489.66,785.87,2703.79
VEI-001-202506-000,VEI-001,Sudeste,2025-06-20,354.6,612.05,83.86,4020.73,695.91,3324.82
VEI-001-202506-001,VEI-001,Sudeste,2025-06-23,226.4,411.13,59.82,1125.57,470.95,654.6199999999999
VEI-001-202506-002,VEI-001,Sudeste,2025-06-16,389.5,748.18,89.22,2629.52,837.4,1792.12
VEI-001-202506-003,VEI-001,Sudeste,2025-06-12,215.2,437.75,59.93,2195.79,497.68,1698.11
VEI-001-202506-004,VEI-001,Sudeste,2025-06-05,361.5,588.63,106.98,3257.89,695.61,2562.2799999999997
VEI-001-202506-005,VEI-001,Sudeste,2025-06-06,462.2,810.56,142.93,5026.18,953.49,4072.6900000000005
VEI-001-202506-006,VEI-001,Sudeste,2025-06-07,336.2,608.28,113.88,3540.55,722.16,2818.3900000000003
VEI-001-202506-007,VEI-001,Sudeste,2025-06-01,392.0,710.93,120.17,5681.45,831.0999999999999,4850.35
VEI-001-202506-008,VEI-001,Sudeste,2025-06-04,483.1,855.41,156.29,3937.77,1011.6999999999999,2926.07
VEI-001-202506-009,VEI-001,Sudeste,2025-06-22,437.6,917.24,104.26,4597.16,1021.5,3575.66
VEI-001-202506-010,VEI-001,Sudeste,2025-06-23,122.7,213.07,24.26,1292.14,237.32999999999998,1054.8100000000002
VEI-001-202506-011,VEI-001,Sudeste,2025-06-22,294.4,489.37,87.53,2845.75,576.9,2268.85
VEI-001-202506-012,VEI-001,Sudeste,2025-06-02,181.6,313.0,60.58,2253.54,373.58,1879.96
VEI-001-202506-013,VEI-001,Sudeste,2025-06-27,277.3,496.48,90.17,3316.81,586.65,2730.16
VEI-001-202506-014,VEI-001,Sudeste,2025-06-26,352.2,620.13,107.07,2560.6,727.2,1833.3999999999999
VEI-001-202506-015,VEI-001,Sudeste,2025-06-01,204.9,403.89,53.84,2291.66,457.73,1833.9299999999998
VEI-001-202506-016,VEI-001,Sudeste,2025-06-07,362.3,666.46,122.84,3623.58,789.3000000000001,2834.2799999999997
VEI-001-202506-017,VEI-001,Sudeste,2025-06-21,356.1,714.63,91.24,3095.3,805.87,2289.4300000000003
VEI-001-202506-018,VEI-001,Sudeste,2025-06-02,238.5,450.64,66.09,1339.65,516.73,822.9200000000001
VEI-001-202506-019,VEI-001,Sudeste,2025-06-18,432.2,796.44,135.01,2508.53,931.45,1577.0800000000002
VEI-001-202506-020,VEI-001,Sudeste,2025-06-11,351.4,668.67,76.05,3734.23,744.7199999999999,2989.51
VEI-001-202506-021,VEI-001,Sudeste,2025-06-02,513.1,861.37,90.56,4439.12,951.9300000000001,3487.1899999999996
VEI-001-202506-022,VEI-001,Sudeste,2025-06-02,331.8,605.32,84.42,2415.96,689.74,1726.22
VEI-001-202506-023,VEI-001,Sudeste,2025-06-05,266.2,480.55,48.11,3825.15,528.66,3296.4900000000002
VEI-001-202506-024,VEI-001,Sudeste,2025-06-04,270.3,514.05,81.9,2313.48,595.9499999999999,1717.5300000000002
VEI-001-202506-025,VEI-001,Sudeste,2025-06-08,289.1,486.29,75.41,3885.79,561.7,3324.09
VEI-001-202507-000,VEI-001,Sudeste,2025-07-21,244.9,483.59,56.76,1762.23,540.35,1221.88
VEI-001-202507-001,VEI-001,Sudeste,2025-07-07,312.0,587.66,94.25,2403.66,681.91,1721.75
VEI-001-202507-002,VEI-001,Sudeste,2025-07-14,218.8,392.04,59.16,2469.55,451.20000000000005,2018.3500000000001
VEI-001-202507-003,VEI-001,Sudeste,2025-07-25,401.9,670.79,137.63,2569.17,808.42,1760.75
VEI-001-202507-004,VEI-001,Sudeste,2025-07-03,339.3,605.16,103.09,1901.7,708.25,1193.45
VEI-001-202507-005,VEI-001,Sudeste,2025-07-26,300.1,547.87,64.6,2852.16,612.47,2239.6899999999996
VEI-001-202507-006,VEI-001,Sudeste,2025-07-10,382.9,696.99,115.35,5476.44,812.34,4664.099999999999
VEI-001-202507-007,VEI-001,Sudeste,2025-07-07,355.3,669.78,123.9,4420.68,793.68,3627.0000000000005
VEI-001-202507-008,VEI-001,Sudeste,2025-07-13,409.2,682.61,104.64,3294.88,787.25,2507.63
VEI-001-202507-009,VEI-001,Sudeste,2025-07-27,319.6,551.01,65.15,2618.78,616.16,2002.6200000000003
VEI-001-202507-010,VEI-001,Sudeste,2025-07-15,359.8,667.67,107.87,2907.72,775.54,2132.18
VEI-001-202507-011,VEI-001,Sudeste,2025-07-23,222.1,476.63,67.04,1528.83,543.67,985.16
VEI-001-202507-012,VEI-001,Sudeste,2025-07-03,360.8,671.7,58.81,4212.39,730.51,3481.88
VEI-001-202507-013,VEI-001,Sudeste,2025-07-05,214.3,371.81,51.12,3045.04,422.93,2622.11
VEI-001-202507-014,VEI-001,Sudeste,2025-07-06,321.2,556.42,83.48,3177.86,639.9,2537.96
VEI-001-202507-015,VEI-001,Sudeste,2025-07-17,244.2,514.64,51.29,3037.49,565.93,2471.56
VEI-001-202507-016,VEI-001,Sudeste,2025-07-15,468.0,881.81,71.92,3041.63,953.7299999999999,2087.9
VEI-001-202507-017,VEI-001,Sudeste,2025-07-22,388.9,657.49,95.27,2879.93,752.76,2127.17
VEI-001-202507-018,VEI-001,Sudeste,2025-07-15,200.4,352.83,37.14,1850.09,389.96999999999997,1460.12
VEI-001-202507-019,VEI-001,Sudeste,2025-07-01,395.7,788.51,60.31,4849.7,848.8199999999999,4000.88
VEI-001-202507-020,VEI-001,Sudeste,2025-07-14,385.9,674.56,123.47,5143.99,798.03,4345.96
VEI-001-202507-021,VEI-001,Sudeste,2025-07-05,208.0,412.29,61.57,1320.87,473.86,847.0099999999999
VEI-001-202507-022,VEI-001,Sudeste,2025-07-15,287.5,566.27,64.35,3132.43,630.62,2501.81
VEI-001-202507-023,VEI-001,Sudeste,2025-07-20,218.5,355.16,49.3,1605.62,404.46000000000004,1201.1599999999999
VEI-001-202507-024,VEI-001,Sudeste,2025-07-09,348.5,698.31,121.1,2925.31,819.41,2105.9
VEI-001-202508-000,VEI-001,Sudeste,2025-08-02,180.1,344.65,45.75,1464.87,390.4,1074.4699999999998
VEI-001-202508-001,VEI-001,Sudeste,2025-08-15,287.3,516.49,71.2,2523.64,587.69,1935.9499999999998
VEI-001-202508-002,VEI-001,Sudeste,2025-08-08,332.0,624.35,77.32,3067.1,701.6700000000001,2365.43
VEI-001-202508-003,VEI-001,Sudeste,2025-08-21,219.4,377.58,37.67,2196.2,415.25,1780.9499999999998
VEI-001-202508-004,VEI-001,Sudeste,2025-08-22,342.8,635.86,92.11,3374.01,727.97,2646.04
VEI-001-202508-005,VEI-001,Sudeste,2025-08-21,217.6,384.79,73.65,2441.5,458.44000000000005,1983.06
VEI-001-202508-006,VEI-001,Sudeste,2025-08-22,331.8,628.72,114.86,3085.27,743.58,2341.69
VEI-001-202508-007,VEI-001,Sudeste,2025-08-05,213.6,358.67,32.73,1909.76,391.40000000000003,1518.36
VEI-001-202508-008,VEI-001,Sudeste,2025-08-27,399.3,727.28,135.39,4290.29,862.67,3427.62
VEI-001-202508-009,VEI-001,Sudeste,2025-08-04,382.9,696.12,131.8,4091.29,827.9200000000001,3263.37
VEI-001-202508-010,VEI-001,Sudeste,2025-08-08,105.8,189.71,27.11,1243.07,216.82,1026.25
VEI-001-202508-011,VEI-001,Sudeste,2025-08-11,350.2,604.24,100.17,4603.42,704.41,3899.01
VEI-001-202508-012,VEI-001,Sudeste,2025-08-10,512.5,989.06,113.9,4364.4,1102.96,3261.4399999999996
VEI-001-202508-013,VEI-001,Sudeste,2025-08-25,238.9,411.34,59.48,2814.57,470.82,2343.75
VEI-001-202508-014,VEI-001,Sudeste,2025-08-26,177.1,337.47,51.83,1244.86,389.3,855.56
VEI-001-202508-015,VEI-001,Sudeste,2025-08-26,312.2,575.62,85.11,3650.24,660.73,2989.5099999999998
VEI-001-202508-016,VEI-001,Sudeste,2025-08-03,162.0,300.72,25.36,1350.61,326.08000000000004,1024.5299999999997
VEI-001-202508-017,VEI-001,Sudeste,2025-08-10,146.0,285.12,24.51,1485.58,309.63,1175.9499999999998
VEI-001-202508-018,VEI-001,Sudeste,2025-08-26,331.4,625.03,70.57,4076.37,695.5999999999999,3380.77
VEI-001-202508-019,VEI-001,Sudeste,2025-08-13,413.7,747.66,128.77,5718.88,876.43,4842.45
VEI-001-202508-020,VEI-001,Sudeste,2025-08-21,185.7,356.98,29.12,1991.08,386.1,1604.98
VEI-001-202508-021,VEI-001,Sudeste,2025-08-23,268.2,480.5,62.44,3016.93,542.94,2473.99
VEI-001-202508-022,VEI-001,Sudeste,2025-08-12,345.6,624.08,113.63,3930.21,737.71,3192.5
